,id,name,dob,unique_prize_year,unique_prize_category,gender,bornCountryCode
105,108,Sir Nevill F. Mott,1905-09-30,1977,physics,male,GB
106,109,John H. Van Vleck,1899-03-13,1977,physics,male,US
107,110,Pyotr Kapitsa,1894-07-09,1978,physics,male,RU
108,111,Arno Penzias,1933-04-26,1978,physics,male,DE
109,112,Robert Woodrow Wilson,1936-01-10,1978,physics,male,US
110,113,Sheldon Glashow,1932-12-05,1979,physics,male,US
111,114,Abdus Salam,1926-01-29,1979,physics,male,PK
112,115,Steven Weinberg,1933-05-03,1979,physics,male,US
113,116,James Cronin,1931-09-29,1980,physics,male,US
114,117,Val Fitch,1923-03-10,1980,physics,male,US
115,118,Nicolaas Bloembergen,1920-03-11,1981,physics,male,NL
116,119,Arthur L. Schawlow,1921-05-05,1981,physics,male,US
117,120,Kai M. Siegbahn,1918-04-20,1981,physics,male,SE
118,121,Kenneth G. Wilson,1936-06-08,1982,physics,male,US
119,122,Subramanyan Chandrasekhar,1910-10-19,1983,physics,male,PK
120,123,William A. Fowler,1911-08-09,1983,physics,male,US
121,124,Carlo Rubbia,1934-03-31,1984,physics,male,IT
122,125,Simon van der Meer,1925-11-24,1984,physics,male,NL
123,126,Klaus von Klitzing,1943-06-28,1985,physics,male,PL
124,127,Ernst Ruska,1906-12-25,1986,physics,male,DE
125,128,Gerd Binnig,1947-07-20,1986,physics,male,DE
126,129,Heinrich Rohrer,1933-06-06,1986,physics,male,CH
127,130,J. Georg Bednorz,1950-05-16,1987,physics,male,DE
128,131,K. Alex Müller,1927-04-20,1987,physics,male,CH
129,132,Leon M. Lederman,1922-07-15,1988,physics,male,US
130,133,Melvin Schwartz,1932-11-02,1988,physics,male,US
131,134,Jack Steinberger,1921-05-25,1988,physics,male,DE
132,135,Norman F. Ramsey,1915-08-27,1989,physics,male,US
133,136,Hans G. Dehmelt,1922-09-09,1989,physics,male,DE
134,137,Wolfgang Paul,1913-08-10,1989,physics,male,DE
135,138,Jerome I. Friedman,1930-03-28,1990,physics,male,US
136,139,Henry W. Kendall,1926-12-09,1990,physics,male,US
137,140,Richard E. Taylor,1929-11-02,1990,physics,male,CA
138,141,Pierre-Gilles de Gennes,1932-10-24,1991,physics,male,FR
139,142,Georges Charpak,1924-08-01,1992,physics,male,PL
140,143,Russell A. Hulse,1950-11-28,1993,physics,male,US
141,144,Joseph H. Taylor Jr.,1941-03-29,1993,physics,male,US
142,145,Bertram N. Brockhouse,1918-07-15,1994,physics,male,CA
143,146,Clifford G. Shull,1915-09-23,1994,physics,male,US
144,147,Martin L. Perl,1927-06-24,1995,physics,male,US
145,148,Frederick Reines,1918-03-16,1995,physics,male,US
146,149,David M. Lee,1931-01-20,1996,physics,male,US
147,150,Douglas D. Osheroff,1945-08-01,1996,physics,male,US
148,151,Robert C. Richardson,1937-06-26,1996,physics,male,US
149,152,Steven Chu,1948-02-28,1997,physics,male,US
150,153,Claude Cohen-Tannoudji,1933-04-01,1997,physics,male,DZ
151,154,William D. Phillips,1948-11-05,1997,physics,male,US
152,155,Robert B. Laughlin,1950-11-01,1998,physics,male,US
153,156,Horst L. Störmer,1949-04-06,1998,physics,male,DE
154,157,Daniel C. Tsui,1939-02-28,1998,physics,male,CN
155,158,Gerardus 't Hooft,1946-07-05,1999,physics,male,NL
156,159,Martinus J.G. Veltman,1931-06-27,1999,physics,male,NL
157,160,Jacobus H. van 't Hoff,1852-08-30,1901,chemistry,male,NL
158,161,Emil Fischer,1852-10-09,1902,chemistry,male,DE
159,162,Svante Arrhenius,1859-02-19,1903,chemistry,male,SE
160,163,Sir William Ramsay,1852-10-02,1904,chemistry,male,GB
161,164,Adolf von Baeyer,1835-10-31,1905,chemistry,male,DE
162,165,Henri Moissan,1852-09-28,1906,chemistry,male,FR
163,166,Eduard Buchner,1860-05-20,1907,chemistry,male,DE
164,167,Ernest Rutherford,1871-08-30,1908,chemistry,male,NZ
165,168,Wilhelm Ostwald,1853-09-02,1909,chemistry,male,LV
166,169,Otto Wallach,1847-03-27,1910,chemistry,male,RU
167,172,Victor Grignard,1871-05-06,1912,chemistry,male,FR
168,173,Paul Sabatier,1854-11-05,1912,chemistry,male,FR
169,174,Alfred Werner,1866-12-12,1913,chemistry,male,FR
170,175,Theodore W. Richards,1868-01-31,1914,chemistry,male,US
171,176,Richard Willstätter,1872-08-13,1915,chemistry,male,DE
172,177,Fritz Haber,1868-12-09,1918,chemistry,male,PL
173,178,Walther Nernst,1864-06-25,1920,chemistry,male,PL
174,179,Frederick Soddy,1877-09-02,1921,chemistry,male,GB
175,180,Francis W. Aston,1877-09-01,1922,chemistry,male,GB
176,181,Fritz Pregl,1869-09-03,1923,chemistry,male,SI
177,182,Richard Zsigmondy,1865-04-01,1925,chemistry,male,AT
178,183,The Svedberg,1884-08-30,1926,chemistry,male,SE
179,184,Heinrich Wieland,1877-06-04,1927,chemistry,male,DE
180,185,Adolf Windaus,1876-12-25,1928,chemistry,male,DE
181,186,Arthur Harden,1865-10-12,1929,chemistry,male,GB
182,187,Hans von Euler-Chelpin,1873-02-15,1929,chemistry,male,DE
183,188,Hans Fischer,1881-07-27,1930,chemistry,male,DE
184,189,Carl Bosch,1874-08-27,1931,chemistry,male,DE
185,190,Friedrich Bergius,1884-10-11,1931,chemistry,male,PL
186,191,Irving Langmuir,1881-01-31,1932,chemistry,male,US
187,192,Harold C. Urey,1893-04-29,1934,chemistry,male,US
188,193,Frédéric Joliot,1900-03-19,1935,chemistry,male,FR
189,194,Irène Joliot-Curie,1897-09-12,1935,chemistry,female,FR
190,195,Peter Debye,1884-03-24,1936,chemistry,male,NL
191,196,Norman Haworth,1883-03-19,1937,chemistry,male,GB
192,197,Paul Karrer,1889-04-21,1937,chemistry,male,RU
193,198,Richard Kuhn,1900-12-03,1938,chemistry,male,AT
194,199,Adolf Butenandt,1903-03-24,1939,chemistry,male,DE
195,200,Leopold Ruzicka,1887-09-13,1939,chemistry,male,HR
196,201,George de Hevesy,1885-08-01,1943,chemistry,male,HU
197,202,Otto Hahn,1879-03-08,1944,chemistry,male,DE
198,203,Artturi Virtanen,1895-01-15,1945,chemistry,male,FI
199,204,James B. Sumner,1887-11-19,1946,chemistry,male,US
200,205,John H. Northrop,1891-07-05,1946,chemistry,male,US
201,206,Wendell M. Stanley,1904-08-16,1946,chemistry,male,US
202,207,Sir Robert Robinson,1886-09-13,1947,chemistry,male,GB
203,208,Arne Tiselius,1902-08-10,1948,chemistry,male,SE
204,209,William F. Giauque,1895-05-12,1949,chemistry,male,CA
205,210,Otto Diels,1876-01-23,1950,chemistry,male,DE
206,211,Kurt Alder,1902-07-10,1950,chemistry,male,PL
207,212,Edwin M. McMillan,1907-09-18,1951,chemistry,male,US
208,213,Glenn T. Seaborg,1912-04-19,1951,chemistry,male,US
209,214,Archer J.P. Martin,1910-03-01,1952,chemistry,male,GB
210,215,Richard L.M. Synge,1914-10-28,1952,chemistry,male,GB
211,216,Hermann Staudinger,1881-03-23,1953,chemistry,male,DE
212,217,Linus Pauling,1901-02-28,1954;1962,chemistry;peace,male,US
213,218,Vincent du Vigneaud,1901-05-18,1955,chemistry,male,US
214,219,Sir Cyril Hinshelwood,1897-05-19,1956,chemistry,male,GB
215,220,Nikolay Semenov,1896-04-03,1956,chemistry,male,RU
216,221,Lord Todd,1907-10-02,1957,chemistry,male,GB
217,222,Frederick Sanger,1918-08-13,1980;1958,chemistry,male,GB
218,223,Jaroslav Heyrovsky,1890-12-20,1959,chemistry,male,CZ
219,224,Willard F. Libby,1908-12-17,1960,chemistry,male,US
220,225,Melvin Calvin,1911-04-08,1961,chemistry,male,US
221,226,Max F. Perutz,1914-05-19,1962,chemistry,male,AT
222,227,John C. Kendrew,1917-03-24,1962,chemistry,male,GB
223,228,Karl Ziegler,1898-11-26,1963,chemistry,male,DE
224,229,Giulio Natta,1903-02-26,1963,chemistry,male,IT
225,230,Dorothy Crowfoot Hodgkin,1910-05-12,1964,chemistry,female,EG
226,231,Robert B. Woodward,1917-04-10,1965,chemistry,male,US
227,232,Robert S. Mulliken,1896-06-07,1966,chemistry,male,US
228,233,Manfred Eigen,1927-05-09,1967,chemistry,male,DE
229,234,Ronald G.W. Norrish,1897-11-09,1967,chemistry,male,GB
230,235,George Porter,1920-12-06,1967,chemistry,male,GB
231,236,Lars Onsager,1903-11-27,1968,chemistry,male,NO
232,237,Derek Barton,1918-09-08,1969,chemistry,male,GB
233,238,Odd Hassel,1897-05-17,1969,chemistry,male,NO
234,239,Luis Leloir,1906-09-06,1970,chemistry,male,FR
235,240,Gerhard Herzberg,1904-12-25,1971,chemistry,male,DE
236,241,Christian Anfinsen,1916-03-26,1972,chemistry,male,US
237,242,Stanford Moore,1913-09-04,1972,chemistry,male,US
238,243,William H. Stein,1911-06-25,1972,chemistry,male,US
239,244,Ernst Otto Fischer,1918-11-10,1973,chemistry,male,DE
240,245,Geoffrey Wilkinson,1921-07-14,1973,chemistry,male,GB
241,246,Paul J. Flory,1910-06-19,1974,chemistry,male,US
242,247,John Cornforth,1917-09-07,1975,chemistry,male,AU
243,248,Vladimir Prelog,1906-07-23,1975,chemistry,male,BA
244,249,William Lipscomb,1919-12-09,1976,chemistry,male,US
245,250,Ilya Prigogine,1917-01-25,1977,chemistry,male,RU
246,251,Peter Mitchell,1920-09-29,1978,chemistry,male,GB
247,252,Herbert C. Brown,1912-05-22,1979,chemistry,male,GB
248,253,Georg Wittig,1897-06-16,1979,chemistry,male,DE
249,254,Paul Berg,1926-06-30,1980,chemistry,male,US
250,255,Walter Gilbert,1932-03-21,1980,chemistry,male,US
251,257,Kenichi Fukui,1918-10-04,1981,chemistry,male,JP
252,258,Roald Hoffmann,1937-07-18,1981,chemistry,male,UA
253,259,Aaron Klug,1926-08-11,1982,chemistry,male,LT
254,260,Henry Taube,1915-11-30,1983,chemistry,male,CA
255,261,Bruce Merrifield,1921-07-15,1984,chemistry,male,US
256,262,Herbert A. Hauptman,1917-02-14,1985,chemistry,male,US
257,263,Jerome Karle,1918-06-18,1985,chemistry,male,US
258,264,Dudley R. Herschbach,1932-06-18,1986,chemistry,male,US
259,265,Yuan T. Lee,1936-11-19,1986,chemistry,male,TW
260,266,John C. Polanyi,1929-01-23,1986,chemistry,male,DE
261,267,Donald J. Cram,1919-04-22,1987,chemistry,male,US
262,268,Jean-Marie Lehn,1939-09-30,1987,chemistry,male,FR
263,269,Charles J. Pedersen,1904-10-03,1987,chemistry,male,KR
264,270,Johann Deisenhofer,1943-09-30,1988,chemistry,male,DE
265,271,Robert Huber,1937-02-20,1988,chemistry,male,DE
266,272,Hartmut Michel,1948-07-18,1988,chemistry,male,DE
267,273,Sidney Altman,1939-05-07,1989,chemistry,male,CA
268,274,Thomas R. Cech,1947-12-08,1989,chemistry,male,US
269,275,Elias James Corey,1928-07-12,1990,chemistry,male,US
270,276,Richard R. Ernst,1933-08-14,1991,chemistry,male,CH
271,277,Rudolph A. Marcus,1923-07-21,1992,chemistry,male,CA
272,278,Kary B. Mullis,1944-12-28,1993,chemistry,male,US
273,279,Michael Smith,1932-04-26,1993,chemistry,male,GB
274,280,George A. Olah,1927-05-22,1994,chemistry,male,HU
275,281,Paul J. Crutzen,1933-12-03,1995,chemistry,male,NL
276,282,Mario J. Molina,1943-03-19,1995,chemistry,male,MX
277,283,F. Sherwood Rowland,1927-06-28,1995,chemistry,male,US
278,284,Robert F. Curl Jr.,1933-08-23,1996,chemistry,male,US
279,285,Sir Harold Kroto,1939-10-07,1996,chemistry,male,GB
280,286,Richard E. Smalley,1943-06-06,1996,chemistry,male,US
281,287,Paul D. Boyer,1918-07-31,1997,chemistry,male,US
282,288,John E. Walker,1941-01-07,1997,chemistry,male,GB
283,289,Jens C. Skou,1918-10-08,1997,chemistry,male,DK
284,290,Walter Kohn,1923-03-09,1998,chemistry,male,AT
285,291,John Pople,1925-10-31,1998,chemistry,male,GB
286,292,Ahmed Zewail,1946-02-26,1999,chemistry,male,EG
287,293,Emil von Behring,1854-03-15,1901,medicine,male,PL
288,294,Ronald Ross,1857-05-13,1902,medicine,male,IN
289,295,Niels Ryberg Finsen,1860-12-15,1903,medicine,male,DK
290,296,Ivan Pavlov,1849-09-14,1904,medicine,male,RU
291,297,Robert Koch,1843-12-11,1905,medicine,male,DE
292,298,Camillo Golgi,1843-07-07,1906,medicine,male,IT
293,299,Santiago Ramón y Cajal,1852-05-01,1906,medicine,male,ES
294,300,Alphonse Laveran,1845-06-18,1907,medicine,male,FR
295,301,Ilya Mechnikov,1845-05-15,1908,medicine,male,UA
296,302,Paul Ehrlich,1854-03-14,1908,medicine,male,PL
297,303,Theodor Kocher,1841-08-25,1909,medicine,male,CH
298,304,Albrecht Kossel,1853-09-16,1910,medicine,male,DE
299,305,Allvar Gullstrand,1862-06-05,1911,medicine,male,SE
300,306,Alexis Carrel,1873-06-28,1912,medicine,male,FR
301,307,Charles Richet,1850-08-26,1913,medicine,male,FR
302,308,Robert Bárány,1876-04-22,1914,medicine,male,AT
303,309,Jules Bordet,1870-06-13,1919,medicine,male,BE
304,310,August Krogh,1874-11-15,1920,medicine,male,DK
305,311,Archibald V. Hill,1886-09-26,1922,medicine,male,GB
306,312,Otto Meyerhof,1884-04-12,1922,medicine,male,DE
307,313,Frederick G. Banting,1891-11-14,1923,medicine,male,CA
308,314,John Macleod,1876-09-06,1923,medicine,male,GB
309,315,Willem Einthoven,1860-05-21,1924,medicine,male,ID
310,316,Johannes Fibiger,1867-04-23,1926,medicine,male,DK
311,317,Julius Wagner-Jauregg,1857-03-07,1927,medicine,male,AT
312,318,Charles Nicolle,1866-09-21,1928,medicine,male,FR
313,319,Christiaan Eijkman,1858-08-11,1929,medicine,male,NL
314,320,Sir Frederick Hopkins,1861-06-20,1929,medicine,male,GB
315,321,Karl Landsteiner,1868-06-14,1930,medicine,male,AT
316,322,Otto Warburg,1883-10-08,1931,medicine,male,DE
317,323,Sir Charles Sherrington,1857-11-27,1932,medicine,male,GB
318,324,Edgar Adrian,1889-11-30,1932,medicine,male,GB
319,325,Thomas H. Morgan,1866-09-25,1933,medicine,male,US
320,326,George H. Whipple,1878-08-28,1934,medicine,male,US
321,327,George R. Minot,1885-12-02,1934,medicine,male,US
322,328,William P. Murphy,1892-02-06,1934,medicine,male,US
323,329,Hans Spemann,1869-06-27,1935,medicine,male,DE
324,330,Sir Henry Dale,1875-06-09,1936,medicine,male,GB
325,331,Otto Loewi,1873-06-03,1936,medicine,male,DE
326,332,Albert Szent-Györgyi,1893-09-16,1937,medicine,male,HU
327,333,Corneille Heymans,1892-03-28,1938,medicine,male,BE
328,334,Gerhard Domagk,1895-10-30,1939,medicine,male,PL
329,335,Henrik Dam,1895-02-21,1943,medicine,male,DK
330,336,Edward A. Doisy,1893-11-13,1943,medicine,male,US
331,337,Joseph Erlanger,1874-01-05,1944,medicine,male,US
332,338,Herbert S. Gasser,1888-07-05,1944,medicine,male,US
333,339,Sir Alexander Fleming,1881-08-06,1945,medicine,male,GB
334,340,Ernst B. Chain,1906-06-19,1945,medicine,male,DE
335,341,Sir Howard Florey,1898-09-24,1945,medicine,male,AU
336,342,Hermann J. Muller,1890-12-21,1946,medicine,male,US
337,343,Carl Cori,1896-12-05,1947,medicine,male,CZ
338,344,Gerty Cori,1896-08-15,1947,medicine,female,CZ
339,345,Bernardo Houssay,1887-04-10,1947,medicine,male,AR
340,346,Paul Müller,1899-01-12,1948,medicine,male,CH
341,347,Walter Hess,1881-03-17,1949,medicine,male,CH
342,348,Egas Moniz,1874-11-29,1949,medicine,male,PT
343,349,Edward C. Kendall,1886-03-08,1950,medicine,male,US
344,350,Tadeus Reichstein,1897-07-20,1950,medicine,male,PL
345,351,Philip S. Hench,1896-02-28,1950,medicine,male,US
346,352,Max Theiler,1899-01-30,1951,medicine,male,ZA
347,353,Selman A. Waksman,1888-07-22,1952,medicine,male,UA
348,354,Hans Krebs,1900-08-25,1953,medicine,male,DE
349,355,Fritz Lipmann,1899-06-12,1953,medicine,male,RU
350,356,John F. Enders,1897-02-10,1954,medicine,male,US
351,357,Thomas H. Weller,1915-06-15,1954,medicine,male,US
352,358,Frederick C. Robbins,1916-08-25,1954,medicine,male,US
353,359,Hugo Theorell,1903-07-06,1955,medicine,male,SE
354,360,André F. Cournand,1895-09-24,1956,medicine,male,FR
355,361,Werner Forssmann,1904-08-29,1956,medicine,male,DE
356,362,Dickinson W. Richards,1895-10-30,1956,medicine,male,US
357,363,Daniel Bovet,1907-03-23,1957,medicine,male,CH
358,364,George Beadle,1903-10-22,1958,medicine,male,US
359,365,Edward Tatum,1909-12-14,1958,medicine,male,US
360,366,Joshua Lederberg,1925-05-23,1958,medicine,male,US
361,367,Severo Ochoa,1905-09-24,1959,medicine,male,ES
362,368,Arthur Kornberg,1918-03-03,1959,medicine,male,US
363,369,Sir Frank Macfarlane Burnet,1899-09-03,1960,medicine,male,AU
364,370,Peter Medawar,1915-02-28,1960,medicine,male,BR
365,371,Georg von Békésy,1899-06-03,1961,medicine,male,HU
366,372,Francis Crick,1916-06-08,1962,medicine,male,GB
367,373,James Watson,1928-04-06,1962,medicine,male,US
368,374,Maurice Wilkins,1916-12-15,1962,medicine,male,NZ
369,375,Sir John Eccles,1903-01-27,1963,medicine,male,AU
370,376,Alan Hodgkin,1914-02-05,1963,medicine,male,GB
371,377,Andrew Huxley,1917-11-22,1963,medicine,male,GB
372,378,Konrad Bloch,1912-01-21,1964,medicine,male,PL
373,379,Feodor Lynen,1911-04-06,1964,medicine,male,DE
374,380,François Jacob,1920-06-17,1965,medicine,male,FR
375,381,André Lwoff,1902-05-08,1965,medicine,male,FR
376,382,Jacques Monod,1910-02-09,1965,medicine,male,FR
377,383,Peyton Rous,1879-10-05,1966,medicine,male,US
378,384,Charles B. Huggins,1901-09-22,1966,medicine,male,CA
379,385,Ragnar Granit,1900-10-30,1967,medicine,male,FI
380,386,Keffer Hartline,1903-12-22,1967,medicine,male,US
381,387,George Wald,1906-11-18,1967,medicine,male,US
382,388,Robert W. Holley,1922-01-28,1968,medicine,male,US
383,389,H. Gobind Khorana,1922-01-09,1968,medicine,male,IN
384,390,Marshall W. Nirenberg,1927-04-10,1968,medicine,male,US
385,391,Max Delbrück,1906-09-04,1969,medicine,male,DE
386,392,Alfred D. Hershey,1908-12-04,1969,medicine,male,US
387,393,Salvador E. Luria,1912-08-13,1969,medicine,male,IT
388,394,Sir Bernard Katz,1911-03-26,1970,medicine,male,DE
389,395,Ulf von Euler,1905-02-07,1970,medicine,male,SE
390,396,Julius Axelrod,1912-05-30,1970,medicine,male,US
391,397,"Earl W. Sutherland, Jr.",1915-11-19,1971,medicine,male,US
392,398,Gerald M. Edelman,1929-07-01,1972,medicine,male,US
393,399,Rodney R. Porter,1917-10-08,1972,medicine,male,GB
394,400,Karl von Frisch,1886-11-20,1973,medicine,male,AT
395,401,Konrad Lorenz,1903-11-07,1973,medicine,male,AT
396,402,Nikolaas Tinbergen,1907-04-15,1973,medicine,male,NL
397,403,Albert Claude,1898-08-24,1974,medicine,male,BE
398,404,Christian de Duve,1917-10-02,1974,medicine,male,GB
399,405,George E. Palade,1912-11-19,1974,medicine,male,RO
400,406,David Baltimore,1938-03-07,1975,medicine,male,US
401,407,Renato Dulbecco,1914-02-22,1975,medicine,male,IT
402,408,Howard M. Temin,1934-12-10,1975,medicine,male,US
403,409,Baruch S. Blumberg,1925-07-28,1976,medicine,male,US
404,410,D. Carleton Gajdusek,1923-09-09,1976,medicine,male,US
405,411,Roger Guillemin,1924-01-11,1977,medicine,male,FR
406,412,Andrew V. Schally,1926-11-30,1977,medicine,male,LT
407,413,Rosalyn Yalow,1921-07-19,1977,medicine,female,US
408,414,Werner Arber,1929-06-03,1978,medicine,male,CH
409,415,Daniel Nathans,1928-10-30,1978,medicine,male,US
410,416,Hamilton O. Smith,1931-08-23,1978,medicine,male,US
411,417,Allan M. Cormack,1924-02-23,1979,medicine,male,ZA
412,418,Godfrey N. Hounsfield,1919-08-28,1979,medicine,male,GB
413,419,Baruj Benacerraf,1920-10-29,1980,medicine,male,VE
414,420,Jean Dausset,1916-10-19,1980,medicine,male,FR
415,421,George D. Snell,1903-12-19,1980,medicine,male,US
416,422,Roger W. Sperry,1913-08-20,1981,medicine,male,US
417,423,David H. Hubel,1926-02-27,1981,medicine,male,CA
418,424,Torsten N. Wiesel,1924-06-03,1981,medicine,male,SE
419,425,Sune K. Bergström,1916-01-10,1982,medicine,male,SE
420,426,Bengt I. Samuelsson,1934-05-21,1982,medicine,male,SE
421,427,John R. Vane,1927-03-29,1982,medicine,male,GB
422,428,Barbara McClintock,1902-06-16,1983,medicine,female,US
423,429,Niels K. Jerne,1911-12-23,1984,medicine,male,GB
424,430,Georges J.F. Köhler,1946-04-17,1984,medicine,male,DE
425,431,César Milstein,1927-10-08,1984,medicine,male,AR
426,432,Michael S. Brown,1941-04-13,1985,medicine,male,US
427,433,Joseph L. Goldstein,1940-04-18,1985,medicine,male,US
428,434,Stanley Cohen,1922-11-17,1986,medicine,male,US
